Tijdstempel,Geef je naam op,Geef je email adres op,Welk thema vind jij het interessantst?
2023-04-12 18:37:28.338596,Oaklyn Tapia,OaklynTapia@email.com,"10,9,6,4,5"
2023-04-12 18:37:28.338596,Edith Hood,EdithHood@email.com,"7,8,3,4,10"
2023-04-12 18:37:28.338596,Ryland Mann,RylandMann@email.com,"5,3,10,4,8"
2023-04-12 18:37:28.338596,Thaddeus Cook,ThaddeusCook@email.com,"7,4,9,6,3"
2023-04-12 18:37:28.338596,Meghan Scott,MeghanScott@email.com,"8,7,5,4,3"
2023-04-12 18:37:28.338596,Gianna Frost,GiannaFrost@email.com,"10,6,5,8,1"
2023-04-12 18:37:28.338596,Lucy Benson,LucyBenson@email.com,"5,4,9,10,8"
2023-04-12 18:37:28.338596,Nasir Klein,NasirKlein@email.com,"10,5,7,9,4"
2023-04-12 18:37:28.338596,Molly Glenn,MollyGlenn@email.com,"10,4,7,6,8"
2023-04-12 18:37:28.338596,Cataleya Newman,CataleyaNewman@email.com,"3,8,4,9,5"
2023-04-12 18:37:28.338596,Alessia Mejia,AlessiaMejia@email.com,"6,5,3,8,9"
2023-04-12 18:37:28.338596,Bethany Villanueva,BethanyVillanueva@email.com,"1,10,8,5,6"
2023-04-12 18:37:28.338596,Hayes Waller,HayesWaller@email.com,"8,7,6,10,4"
2023-04-12 18:37:28.338596,Zayd Oâ€™Connell,ZaydOâ€™Connell@email.com,"4,10,6,9,5"
2023-04-12 18:37:28.338596,Angelina Lim,AngelinaLim@email.com,"10,9,7,1,6"
2023-04-12 18:37:28.338596,Declan Guzman,DeclanGuzman@email.com,"1,8,4,5,7"
2023-04-12 18:37:28.338596,Nelson Ingram,NelsonIngram@email.com,"9,6,4,10,5"
2023-04-12 18:37:28.338596,Kane Odom,KaneOdom@email.com,"6,4,7,10,9"
2023-04-12 18:37:28.338596,Salvatore Dougherty,SalvatoreDougherty@email.com,"1,4,10,8,7"
